station	x(km)	y(km)	z(km)	latitude	longitude	elevation(m)	unit	component	response
UW.BERY..HH	56.042	73.845	-0.150	48.264	-122.096	149.600	m/s	E,N,Z	504364575.00,504364575.00,504364575.00
UW.BST09..HH	32.359	6.005	-0.037	47.654	-122.309	37.200	m/s	E,N,Z	977038890.00,977038890.00,977038890.00
UW.DONK..HH	49.289	91.607	-0.893	48.424	-122.157	892.800	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.DOSE..HH	-41.342	13.032	-0.053	47.717	-122.972	53.300	m/s	E,N,Z	503735430.00,503735430.00,503735430.00
UW.FMW..HH	103.249	-73.176	-1.900	46.942	-121.671	1900.000	m/s	E,N,Z	301720000.00,301720000.00,301720000.00
UW.GNW..HH	-25.017	-3.989	-0.220	47.564	-122.825	220.000	m/s	E,N,Z	503735430.00,503735430.00,503735430.00
UW.HILL..HH	17.011	87.628	-0.038	48.388	-122.447	38.100	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.LON..HH	87.888	-94.449	-0.853	46.751	-121.810	853.000	m/s	E,N,Z	501420000.00,501420000.00,501420000.00
UW.LRIV..HH	-100.520	50.872	-0.294	48.057	-123.504	293.800	m/s	E,N,Z	503735430.00,503735430.00,503735430.00
UW.NATEM..HH	-24.298	56.250	-0.064	48.106	-122.819	64.000	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.OSQM..HH	-59.088	49.284	-0.235	48.043	-123.131	234.900	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.PRIN..HH	-3.430	68.020	-0.062	48.212	-122.631	62.200	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.RATT..HH	88.674	-19.408	-0.442	47.425	-121.803	442.400	v	E,N,Z	503735430.00,503735430.00,503735430.00
UW.RCM..HH	96.408	-84.993	-3.085	46.836	-121.733	3085.000	m/s	E,N,Z	301720000.00,301720000.00,301720000.00
UW.SALO..HH	25.230	39.079	-0.147	47.951	-122.373	146.900	m/s	E,N,Z	299640000.00,299640000.00,299640000.00
UW.SP2..HH	39.004	-4.860	-0.030	47.556	-122.249	30.000	m/s	E,N,Z	628958000.00,628958000.00,628958000.00
UW.STOR..HH	67.962	-45.801	-0.266	47.188	-121.989	266.400	m/s	E,N,Z	501420000.00,501420000.00,501420000.00
UW.TKEY..HH	-19.070	-46.858	-0.047	47.179	-122.772	47.400	m/s	E,N,Z	504364575.00,504364575.00,504364575.00
UW.TOLT..HH	101.243	10.530	-0.541	47.695	-121.689	541.000	m/s	E,N,Z	503735430.00,503735430.00,503735430.00
